iter	Passed	Remaining
0	0	95
1	2	101
2	3	106
3	4	100
4	5	96
5	5	93
6	6	90
7	7	90
8	8	87
9	9	87
10	10	87
11	11	87
12	12	86
13	14	87
14	15	85
15	15	83
16	16	81
17	17	80
18	18	79
19	19	77
20	20	76
21	21	75
22	22	73
23	22	72
24	23	71
25	24	71
26	26	70
27	26	68
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	62
34	32	61
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	38	53
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	43
53	49	42
54	50	41
55	51	40
56	51	39
57	52	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	60	30
66	60	29
67	61	28
68	62	28
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	68	22
75	69	21
76	70	20
77	71	20
78	72	19
79	72	18
80	73	17
81	74	16
82	75	15
83	76	14
84	76	13
85	77	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	87	1
98	88	0
99	89	0
